Name,Product Type,Internal Category, Machine Drawing No,Casting Drawing No,Size,Material,OD (mm) , L (mm) ,ID (mm) 
O RING ID 119mm x 4mm,Stockable Product,O RING,,,ID 119mm x 4mm C/S,NITRILE RUBBER,,,
CIRCLIP ø 30mm,Stockable Product,CIRCLIP,,,ø 30mm,STANDARD,,,
HEX BOLT M10x30L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M10x30L,C.S. Gr. 4.0,,,
HEX BOLT M10x55L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M10x55L,C.S. Gr. 4.0,,,
WASHER ID 9 x OD 35 x 1 THK,Stockable Product,WASHER,,,ID 9 x OD 35 x 1 THK,M.S.,35,1,9
SGB COVER MLS-05/F30,Stockable Product,SGB COVER,215-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
PINION SHAFT ø 50x248L - EN19,Stockable Product,PINION SHAFT,A16-03-M/R0,,,EN19,,,
ALLEN BOLT M10x40L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M10x40L,C.S. Gr. 4.0,,,
SGB COVER MLS-05/F30,Stockable Product,SGB COVER,115-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-05/F30,Stockable Product,SPUR GEAR,122-04-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
PINION SHAFT ø 50x390L - EN19,Stockable Product,PINION SHAFT,316-03-M/R0,,ø 50x390L,EN19,,,
HEX BOLT M6x30L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M6x30L,C.S. Gr. 4.0,,,
SGB HOUSING MLS-05/F16,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-05/F16,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-05/F16,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 36x151L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,ø 36x151L,EN19,,,
HARD WASHER OD 73 x ID 57 x 6 THK,Stockable Product,HARD WASHER,009-10-M/R0,,OD 73 x ID 57 x 6 THK,ST.STEEL,73,6,57
BUSH ø 35x21L,Stockable Product,BUSH,039-07-M/R0,,ø 35x21L,BRASS,35,21,
BUSH ø 35x38L,Stockable Product,BUSH,040-07-M/R0,,ø 35x38L,BRASS,35,38,
STEEL BALL ø 4mm,Stockable Product,STEEL BALL,,,ø 4mm,ST.STEEL,,,
O RING ID 60mm x 3mm,Stockable Product,O RING,,,ID 60mm x 3mm C/S,NITRILE RUBBER,,,
HEX BOLT M8x30L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M8x30L,C.S. Gr. 4.0,,,
HEX BOLT M8x45L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M8x45L,C.S. Gr. 4.0,,,
SGB COVER MLS-05/F16,Stockable Product,SGB COVER,215-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
PINION SHAFT ø 36x227L - EN19,Stockable Product,PINION SHAFT,216-03-M/R0,,ø 36x227L ,EN19,36,227,
HEX BOLT M8x35L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M8x35L,C.S. Gr. 4.0,,,
SGB COVER MLS-05/F16,Stockable Product,SGB COVER,115-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-05/F16 (INDICATOR),Stockable Product,SPUR GEAR,222-04-M/R0,,,EN8,,,
PINION SHAFT ø 36x286L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,ø 36x286L,EN19,,,
SGB HOUSING MLS-04/F16,Stockable Product,SGB HOUSING,014-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-04/F16,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-04/F16,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 45x151L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,ø 45x151L,EN19,45,15,
PINION SHAFT ø 45x227L - EN19,Stockable Product,PINION SHAFT,216-03-M/R0,,ø 45x227L,EN19,45,227,
HEX BOLT M8x35L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M8x35L,C.S. Gr. 4.0,,,
SPUR GEAR MLS-04/F16 (INDICATOR),Stockable Product,SPUR GEAR,222-04-M/R0,,,EN8,,,
PINION SHAFT ø 45x287L - EN19,Stockable Product,PINION SHAFT,116-03-M/R0,,ø 45x287L,EN19,45,287,
SGB HOUSING MLS-02/F14,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-02/F14,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-02/F14 (STD),Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 40x125L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,,EN19,,,
HANDWHEEL ø 250mm,Stockable Product,HANDWHEEL,011-09-M/R0,,ø 250mm,M.S. FABRICATED,,,
O RING ID 50mm x 2mm,Stockable Product,O RING,,,ID 50mm x 2mm C/S,NITRILE RUBBER,,,
PARALLEL KEY 8x7x32,Stockable Product,PARALLEL KEY,,,8x7x32,C-40,,,
PINION SHAFT ø 45x213L - EN19,Stockable Product,PINION SHAFT,216-03-M/R0,,,EN19,,,
BUSH ø 35x26L,Stockable Product,BUSH,040-07-M/R0,,,BRASS,,,
ALLEN BOLT M8x25L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M8x25L,C.S. Gr. 4.0,,,
PARALLEL KEY 8x7x36,Stockable Product,PARALLEL KEY,,,8x7x36,C-40,,,
SGB HOUSING MLS-02/F16,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-02/F16,Stockable Product,SGB COVER,115-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-02/F16 (STD),Stockable Product,SPUR GEAR,122-04-M/R0,,,EN8,,,
PINION SHAFT ø 50x128L - EN19,Stockable Product,PINION SHAFT,216-03-M/R0,,,EN19,,,
PINION SHAFT ø 50x224L - EN19,Stockable Product,PINION SHAFT,316-03-M/R0,,,EN19,,,
HARD WASHER OD 72 x ID 60 x 6 THK,Stockable Product,HARD WASHER,009-10-M/R0,,OD 72 x ID 60 x 6 THK,ST.STEEL,,,
SPUR GEAR MLS-02/F16 (INDICATOR),Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 50x293L - EN19,Stockable Product,PINION SHAFT,116-03-M/R0,,,EN19,,,
HEX BOLT M4x15L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M4x15L,C.S. Gr. 4.0,,,
SGB HOUSING MLS-05/F25,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-05/F25,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-05/F25,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
PINION SHAFT ø 40x150L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,,EN19,,,
SGB COVER (E/O) MLS-05/F25,Stockable Product,SGB COVER,115-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
PINION SHAFT ø 40x241L - EN19,Stockable Product,PINION SHAFT,216-03-M/R0,,,EN19,,,
ALLEN BOLT M6x35L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M6x35L,C.S. Gr. 4.0,,,
SGB HOUSING MLS-06/F30,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER MLS-06/F30,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR MLS-06/F30,Stockable Product,SPUR GEAR,022-11-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
PINION SHAFT ø 60x181L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,,EN19,,,
HARD WASHER OD 170 x ID 145 x 7 THK,Stockable Product,HARD WASHER,009-10-M/R0,,OD 170 x ID 145 x 7 THK,ST.STEEL,,,
O RING ID 145mm x 4mm,Stockable Product,O RING,,,ID 145mm x 4mm C/S,NITRILE RUBBER,,,
HEX BOLT M8x60L - C.S. Gr. 4.0,Stockable Product,HEX BOLT,,,M8x60L,C.S. Gr. 4.0,,,
SGB COVER MLS-06/F30,Stockable Product,SGB COVER,115-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
PINION SHAFT ø 60x260L - EN19,Stockable Product,PINION SHAFT,116-03-M/R0,,,EN19,,,
HARD WASHER OD 170 x ID 145 x 7 THK,Stockable Product,HARD WASHER,009-10-M/R0,,,ST.STEEL,,,
ALLEN BOLT M8x45L - C.S. Gr. 4.0,Stockable Product,ALLEN BOLT,,,M8x45L,C.S. Gr. 4.0,,,
SGB HOUSING ORS-05/F25,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER ORS-05/F25,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR ORS-05/F25,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
INTERMEDIATE GEAR ø 105x39L - EN8,Stockable Product,INTERMEDIATE GEAR,062-04-M/R0,,,EN8,,,
INTERMEDIATE SHAFT ø 55x85L - EN19,Stockable Product,INTERMEDIATE SHAFT,063-03-M/R0,,,EN19,,,
PINION SHAFT ø 45x223L - EN19,Stockable Product,PINION SHAFT,316-03-M/R0,,,EN19,,,
HARD WASHER OD 117 x ID 97 x 7 THK,Stockable Product,HARD WASHER,009-10-M/R0,,,ST.STEEL,,,
BUSH ø 45x35L,Stockable Product,BUSH,064-07-M/R0,,ø 45x35L,BRASS,,,
BUSH ø 30x30L,Stockable Product,BUSH,039-07-M/R0,,ø 30x30L,BRASS,,,
BUSH ø 45x24L,Stockable Product,BUSH,065-07-M/R0,,ø 45x24L,BRASS,,,
BUSH ø 30x24L,Stockable Product,BUSH,040-07-M/R0,,ø 30x24L,BRASS,,,
THRUST RACES AS 2035,Stockable Product,THRUST RACES,,,AS 2035,STANDARD,,,
THRUST RACES AS 3552,Stockable Product,THRUST RACES,,,AS 3552,STANDARD,,,
ALLEN BOLT M6x30L,Stockable Product,ALLEN BOLT,,,M6x30L,C.S. Gr. 4.0,,,
PARALLEL KEY 6x6x40,Stockable Product,PARALLEL KEY,,,6x6x40,C-40,,,
SGB HOUSING ORS-05/F30,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER ORS-05/F30,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR ORS-05/F30,Stockable Product,SPUR GEAR,022-04-M/R0,,,EN8,,,
INTERMEDIATE GEAR ø 105x57L - EN8,Stockable Product,INTERMEDIATE GEAR,062-04-M/R0,,,EN8,,,
INTERMEDIATE SHAFT ø 55x103L - EN19,Stockable Product,INTERMEDIATE SHAFT,063-03-M/R0,,,EN19,,,
PINION SHAFT ø 45x242L - EN19,Stockable Product,PINION SHAFT,316-03-M/R0,,,EN19,,,
HARD WASHER OD 145 x ID 120 x 6 THK,Stockable Product,HARD WASHER,009-10-M/R0,,,ST.STEEL,,,
O RING ID 120mm x 3mm,Stockable Product,O RING,,,ID 120mm x 3mm C/S,NITRILE RUBBER,,,
SGB HOUSING ORS-06/F30,Stockable Product,SGB HOUSING,014-1-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SGB COVER ORS-06/F30,Stockable Product,SGB COVER,015-01-M/R0,,,C.I. IS:210 Gr. FG 220,,,
SPUR GEAR ORS-06/F30,Stockable Product,SPUR GEAR,022-11-M/R0,,,S.G.I. IS1865 Gr. 500/7,,,
INTERMEDIATE GEAR ø 135x105L - EN8,Stockable Product,INTERMEDIATE GEAR,062-04-M/R0,,,EN8,,,
PINION SHAFT ø 60x285L - EN19,Stockable Product,PINION SHAFT,016-03-M/R0,,,EN19,,,
HARD WASHER OD 175 x ID 150 x 8 THK,Stockable Product,HARD WASHER,009-10-M/R0,,,ST.STEEL,,,
NEEDLE ROLLER CAGE KT 14515326,Stockable Product,NEEDLE ROLLER CAGE,,,KT 14515326,STANDARD,,,
NEEDLE ROLLER CAGE KT 303620,Stockable Product,NEEDLE ROLLER CAGE,,,KT 303620,STANDARD,,,
NEEDLE ROLLER CAGE KT 404825,Stockable Product,NEEDLE ROLLER CAGE,,,KT 404825,STANDARD,,,
THRUST RACES AS 4060,Stockable Product,THRUST RACES,,,AS 4060,STANDARD,,,
O RING ID 145mm x 6mm,Stockable Product,O RING,,,ID 145mm x 6mm C/S,NITRILE RUBBER,,,
O RING ID 30mm x 3mm,Stockable Product,O RING,,,ID 30mm x 3mm C/S,NITRILE RUBBER,,,
HEX BOLT M8x30L - H.T. Gr. 8.8,Stockable Product,HEX BOLT,,,M8x30L,H.T. Gr. 8.8,,,
ALLEN BOLT M8x45L,Stockable Product,ALLEN BOLT,,,M8x45L,H.T. Gr. 10.9,,,
