Product,Bom Lines / Product Quantity,Bom Lines / Used For,Bom Lines / Product
,1,FOR 2 & 4,BUSH ø 35x33L
,2,,THRUST RACES AS 2542
,48,,STEEL BALL ø 4mm
,2,,O RING ID 60mm x 3mm
,1,,CIRCLIP ø 25mm
,2,FOR 1 & 2,HEX BOLT M8x45L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M8x25L
,1,FOR 4,PARALLEL KEY 8x7x40
MLS-02/F16 (INDICATOR),1,,SGB HOUSING MLS-02/F16
,1,,SGB COVER MLS-02/F16
,1,(INDICATOR),SPUR GEAR MLS-02/F16 (INDICATOR)
,1,(INDICATOR),PINION SHAFT ø 50x293L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 72 x ID 60 x 6 THK
,1,,HANDWHEEL ø 250mm
,1,FOR 1 & 4,BUSH ø 35x19L
,1,FOR 2 & 4,BUSH ø 35x33L
,2,,THRUST RACES AS 2542
,48,,STEEL BALL ø 4mm
,2,,O RING ID 60mm x 3mm
,1,,CIRCLIP ø 25mm
,2,FOR 1 & 2,HEX BOLT M8x45L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M8x25L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,6,FOR 2 & PIPE HOOD,HEX BOLT M8x25L - C.S. Gr. 4.0
,4,FOR 3 & IND ROD,HEX BOLT M4x15L - C.S. Gr. 4.0
,1,FOR 4 & 6,PARALLEL KEY 8x7x40
,1,FOR 6,INDICATOR PLATE ø 50mm
,1,FOR 6 & 14,WASHER ID 9 x OD 30 x 1 THK
MLS-05/F25,1,,SGB HOUSING MLS-05/F25
,1,,SGB COVER MLS-05/F25
,1,,SPUR GEAR MLS-05/F25
,1,,PINION SHAFT ø 40x150L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 115 x ID 97 x 7 THK
,1,,HANDWHEEL ø 500mm
,1,FOR 1 & 4,BUSH ø 35x19L
,1,FOR 2 & 4,BUSH ø 35x33L
,2,,THRUST RACES AS 2542
,102,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,1,,CIRCLIP ø 25mm
,5,FOR 1 & 2,HEX BOLT M6x25L - C.S. Gr. 4.0
,3,FOR 1 & 2,HEX BOLT M6x40L - C.S. Gr. 4.0
,1,FOR 4 & 6,HEX BOLT M8x15L - C.S. Gr. 4.0
,1,FOR 4 & 6,PARALLEL KEY 8x7x40
,1,FOR 6,INDICATOR PLATE ø 50mm
,1,FOR 6 & 15,WASHER ID 9 x OD 30 x 1 THK
MLS-05/F25 (EO),1,,SGB HOUSING MLS-05/F25
,1,,SGB COVER (E/O) MLS-05/F25
,1,,SPUR GEAR MLS-05/F25
,1,(AUMA),PINION SHAFT ø 40x241L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 115 x ID 97 x 7 THK
,1,FOR 1 & 5,BUSH ø 35x19L
,1,FOR 2 & 5,BUSH ø 35x33L
,2,,THRUST RACES AS 2542
,102,,STEEL BALL ø 6mm
,2,,O RING ID 100mm x 3mm
,5,FOR 1 & 2,HEX BOLT M6x25L - C.S. Gr. 4.0
,3,FOR 1 & 2,ALLEN BOLT M6x35L - C.S. Gr. 4.0
,1,FOR 4,PARALLEL KEY 8x7x40
MLS-06/F30,1,,SGB HOUSING MLS-06/F30
,1,,SGB COVER MLS-06/F30
,1,,SPUR GEAR MLS-06/F30
,1,,PINION SHAFT ø 60x181L - EN19
,2,(TOP/BOTTOM),HARD WASHER OD 170 x ID 145 x 7 THK
,1,,HANDWHEEL ø 700mm
,1,FOR 1 & 5,BUSH ø 40x19L
